City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Kawalu,ID,69.58,overcast clouds,-7.3817,108.2082,West Jontor
412,Newport,GB,75.69,clear sky,51.5877,-2.9984,ibis budget Newport
413,Lalsot,IN,82.67,moderate rain,26.5667,76.3333,Sharma Hotel
416,Kushmurun,KZ,66.79,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
421,Banyo,CM,66.42,overcast clouds,6.75,11.8167,Motel JOMBA
422,Mugumu,TZ,71.01,overcast clouds,-1.85,34.7,Lemala Mara
423,Malanje,AO,73.29,clear sky,-9.5402,16.341,Hotel Ginga
425,Assiniboia,CA,75.42,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
427,Nangomba,TZ,72.73,few clouds,-10.9,38.5,
428,Luganville,VU,75.96,clear sky,-15.5333,167.1667,The Espiritu Hotel
431,Canayan,PH,67.68,overcast clouds,8.1956,125.1447,Haus Malibu
432,Lucapa,AO,73.72,clear sky,-8.4192,20.7447,Lírio Mendes
436,Campobasso,IT,79.81,broken clouds,41.6333,14.5833,Tre Archi
437,Okitipupa,NG,74.59,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
438,Lac Du Bonnet,CA,70.77,overcast clouds,50.2536,-96.0612,Drifter's Inn
439,Ushtobe,KZ,74.86,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
440,Tibati,CM,68.36,overcast clouds,6.4667,12.6333,Tibati Hotel
441,Lazaro Cardenas,MX,84.97,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
442,Erenhot,CN,68.2,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
443,Manuk Mangkaw,PH,83.17,overcast clouds,4.8,119.85,
444,Korla,CN,84.9,clear sky,41.7597,86.1469,Gulisitan Hotel
445,Soyo,AO,69.22,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
447,Harper,LR,73.8,overcast clouds,4.375,-7.7169,Screensaver
448,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
452,Naze,JP,78.71,clear sky,28.3667,129.4833,Shishime Hotel
455,Pangkalanbuun,ID,71.65,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
456,Grimshaw,CA,72.23,clear sky,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
458,Shaunavon,CA,77.99,clear sky,49.6501,-108.4181,Bear's Den Lodge
459,Waspan,NI,82.69,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
461,Ambulu,ID,74.62,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
463,Ojiya,JP,77.4,few clouds,37.3,138.8,ビジネスホテル ニュープラザ
464,Zambezi,ZM,65.07,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
467,Torbat-E Jam,IR,82.42,clear sky,35.244,60.6225,White building
468,Alamosa,US,78.78,few clouds,37.4695,-105.87,Best Western Alamosa Inn
472,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
474,Asfi,MA,71.85,clear sky,32.2994,-9.2372,Hôtel Abda
475,Diego De Almagro,CL,70.57,clear sky,-26.3667,-70.05,hotel luna del desierto
476,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
477,Svetlaya,RU,67.14,overcast clouds,46.5389,138.3297,
480,Vaitape,PF,76.75,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
489,Pachino,IT,82.83,scattered clouds,36.7186,15.0907,Il Veliero
491,Isangel,VU,74.88,clear sky,-19.55,169.2667,Tanna Lodge
492,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
493,Niteroi,BR,74.86,overcast clouds,-22.8833,-43.1036,Hotel Viareggio
494,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
495,Saint-Augustin,CA,73.06,overcast clouds,51.226,-58.6502,
496,Amursk,RU,66.04,heavy intensity rain,50.2261,136.8994,Gostinitsa Tsentral'naya
501,Saint-Pierre,RE,68.92,broken clouds,-21.3393,55.4781,Alize Plage
502,Maua,BR,69.37,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
504,Makakilo City,US,82.15,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
508,Chirongui,YT,71.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
515,Goderich,CA,80.91,overcast clouds,43.7501,-81.7165,Harmony Inn
516,Muros,ES,83.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
517,Arona,ES,72.7,clear sky,28.0996,-16.681,Paradise Court
518,Nioro,GM,80.96,moderate rain,13.35,-15.75,
519,Buluang,PH,76.05,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
520,Pau Brasil,BR,74.37,broken clouds,-15.4642,-39.6511,Tina Hotel
522,Seoul,KR,81.84,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
523,Laohekou,CN,83.68,overcast clouds,32.3858,111.6678,Laohekou Hotel
525,Izumo,JP,78.75,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
526,Grand Gaube,MU,68.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
527,Atambua,ID,69.66,clear sky,-9.1061,124.8925,Kost Alfa Flat
528,Vao,NC,72.77,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
530,Juegang,CN,84.9,broken clouds,32.3174,121.1855,Rudong Y Hotel
531,Guiglo,CI,72.12,clear sky,6.5456,-7.4966,Hotel GBAOLY 2
538,Pyapon,MM,75.79,light rain,16.2833,95.6833,Aung Naing Thu Motel
540,Jinchang,CN,75.02,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
541,Nishihara,JP,81.68,clear sky,26.1842,127.7558,Minshuku Agaihama
542,Meulaboh,ID,76.3,broken clouds,4.1363,96.1285,Kost Pria
543,Sioux Lookout,CA,66.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
548,Axim,GH,74.64,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
549,Mwingi,KE,66.96,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
551,Hastings,GB,71.8,clear sky,50.8552,0.5729,Zanzibar Hotel
553,Quelimane,MZ,69.75,clear sky,-17.8786,36.8883,Hotel Flamingo
556,Kasongo-Lunda,CD,79.18,few clouds,-6.4667,16.8167,
560,Luanda,AO,68.0,clear sky,-8.8368,13.2343,EPIC SANA Luanda
566,Helong,CN,70.34,broken clouds,42.5397,128.9972,Helong Hotel
568,Bonavista,CA,72.18,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
572,Adil-Yangiyurt,RU,72.09,overcast clouds,43.5633,46.5846,
573,Tuensang,IN,71.01,scattered clouds,26.2833,94.8333,B.W.D Resthouse.
575,Naron,ES,77.85,scattered clouds,43.5167,-8.1528,Marcial
576,Zhongshan,CN,81.48,overcast clouds,21.3226,110.5829,Jianmin Restaurant
577,Bossangoa,CF,67.8,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
578,Saint-Prosper,CA,83.71,scattered clouds,46.2117,-70.4811,Residence Beau Séiour
580,Marechal Candido Rondon,BR,65.7,overcast clouds,-24.5561,-54.0567,Hotel Bender
583,Toamasina,MG,66.9,few clouds,-18.1667,49.3833,Hotel H1
587,Waingapu,ID,72.79,clear sky,-9.6567,120.2641,Pondok Wisata Elim
588,Karaton,ID,72.5,clear sky,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
589,Lazo,RU,71.98,overcast clouds,43.3817,133.9014,
590,Amos,CA,66.79,overcast clouds,48.5669,-78.1162,Amosphère Resort
591,Santa Cruz,BO,69.85,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
592,Hualmay,PE,65.8,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
594,Mayumba,GA,67.96,scattered clouds,-3.432,10.6554,LIKWALE LODGE
597,Hanyang,CN,75.6,overcast clouds,32.1371,105.5126,Forestry Hostel
598,Jiaonan,CN,83.16,overcast clouds,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
600,Aksarka,RU,69.08,clear sky,66.5606,67.7975,
