City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Changji,CN,44.0167,87.3167,83.19,34,0,2.24,clear sky
142,Lao,PH,11.0181,124.5597,75.42,92,100,3.06,overcast clouds
143,Cururupu,BR,-1.8283,-44.8683,86.04,58,11,6.96,few clouds
144,Rawson,AR,-43.3002,-65.1023,43.03,68,100,11.07,overcast clouds
145,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,20,13.8,few clouds
146,Bubaque,GW,11.2833,-15.8333,79.74,80,100,12.1,light rain
147,Mandalgovi,MN,45.7625,106.2708,62.44,39,21,7.43,few clouds
148,Tasiilaq,GL,65.6145,-37.6368,42.51,92,100,8.48,light rain
149,Kaitangata,NZ,-46.2817,169.8464,37.63,72,99,8.5,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,16.11,broken clouds
151,Kodinsk,RU,58.6881,99.1844,54.59,96,100,3.42,overcast clouds
152,Traralgon,AU,-38.1833,146.5333,42.39,98,43,1.61,scattered clouds
153,Magadan,RU,59.5667,150.8,45.54,83,94,2.37,overcast clouds
154,Fort Abbas,PK,29.1925,72.8536,89.92,62,100,8.63,overcast clouds
155,Lakes Entrance,AU,-37.8811,147.981,42.17,91,83,3.85,broken clouds
156,Ankang,CN,32.68,109.0172,82.24,73,100,2.33,overcast clouds
157,Castro,BR,-24.7911,-50.0119,59.72,94,100,2.35,moderate rain
158,Severo-Kurilsk,RU,50.6789,156.125,54.27,94,41,6.69,scattered clouds
159,Robertsport,LR,6.7533,-11.3686,77.14,77,62,14.45,broken clouds
160,Talnakh,RU,69.4865,88.3972,56.21,86,100,3.85,light rain
161,Namatanai,PG,-3.6667,152.4333,77.63,83,98,5.17,light rain
162,Thompson,CA,55.7435,-97.8558,73.56,43,75,18.41,broken clouds
163,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,76,100,9.22,overcast clouds
164,Evensk,RU,61.95,159.2333,53.94,87,100,0.98,overcast clouds
165,Basoko,CD,1.2391,23.616,75.83,78,99,3.58,light rain
166,Vieste,IT,41.8825,16.175,80.24,71,0,15.14,clear sky
167,Butaritari,KI,3.0707,172.7902,82.13,74,100,16.17,light rain
168,Kigoma,TZ,-4.8769,29.6267,74.66,62,0,5.32,clear sky
169,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,62,75,5.75,broken clouds
170,Grindavik,IS,63.8424,-22.4338,52.27,87,100,18.41,overcast clouds
171,Saint-Francois,FR,46.4154,3.9054,81.84,26,0,11.5,clear sky
172,Bengkulu,ID,-3.8004,102.2655,75.29,88,9,6.08,clear sky
173,Upernavik,GL,72.7868,-56.1549,41.94,85,84,9.04,broken clouds
174,Miraflores,MX,19.2167,-98.8083,72.03,50,100,2.35,overcast clouds
175,Bela,IN,25.9333,81.9833,86.49,67,96,7.2,overcast clouds
176,Manta,EC,-0.95,-80.7333,74.98,78,100,10.36,overcast clouds
177,Hofn,IS,64.2539,-15.2082,53.01,98,100,9.53,overcast clouds
178,Le Port,RE,-20.9373,55.2919,70.25,69,69,3.06,light rain
179,San Policarpo,PH,12.1791,125.5072,75.33,88,100,3.4,overcast clouds
180,Troitsko-Pechorsk,RU,62.7084,56.1964,71.64,59,89,4.5,overcast clouds
181,Hauterive,FR,46.0901,3.4459,81.36,32,0,5.32,clear sky
182,Hasaki,JP,35.7333,140.8333,77.4,92,32,12.08,scattered clouds
183,Pacific Grove,US,36.6177,-121.9166,76.21,75,59,8.01,broken clouds
184,Ballina,AU,-28.8667,153.5667,44.78,75,0,9.48,clear sky
185,Olafsvik,IS,64.8945,-23.7142,51.42,78,100,12.95,overcast clouds
186,San Francisco,US,37.7749,-122.4194,80.02,74,40,11.01,scattered clouds
187,Yurino,RU,56.2942,46.3039,68.68,74,19,5.26,few clouds
188,Alice Springs,AU,-23.7,133.8833,36.95,65,0,0.0,clear sky
189,Jales,BR,-20.2689,-50.5458,93.43,17,100,10.94,overcast clouds
190,Xinmin,CN,41.9908,122.8253,71.89,93,0,11.3,clear sky
191,Beringovskiy,RU,63.05,179.3167,41.61,69,5,30.18,clear sky
192,Port Hardy,CA,50.6996,-127.4199,63.32,81,32,7.11,scattered clouds
193,Umm Kaddadah,SD,13.6017,26.6876,87.55,40,93,5.59,overcast clouds
194,San Cristobal,VE,7.7669,-72.225,84.09,47,98,7.34,overcast clouds
195,Solnechnyy,RU,50.7214,136.6319,63.82,100,100,4.07,light rain
196,Magdalena,PH,14.1999,121.429,75.34,98,100,3.06,moderate rain
